2021-2022学年度春季学期  本科生课程开课目录,,,,,,,,,,,,
开课院系,课程号,课序号,课程名,学分,任课教师,课容量,上课时间,上课周次,课程特色,选课文字说明,所属年级,是否二级选课
建筑学院,30000274,2,建筑设计（2下）,4,刘伯英,11,"13,14,41,42",后八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000274,3,建筑设计（2下）,4,周正楠,7,"13,14,41,42",后八周,实验课,"限:建筑学院学生选课; 在线课堂,未返校留学生选",2021,否
建筑学院,30000274,4,建筑设计（2下）,4,卢向东,11,"13,14,41,42",后八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000274,5,建筑设计（2下）,4,胡戎叡,11,"13,14,41,42",后八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000274,6,建筑设计（2下）,4,张昕,11,"13,14,41,42",后八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000274,7,建筑设计（2下）,4,郭逊,10,"13,14,41,42",后八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000274,8,建筑设计（2下）,4,罗德胤,11,"13,14,41,42",后八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000274,9,建筑设计（2下）,4,曹越,11,"13,14,41,42",后八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000332,0,建筑力学与建筑结构,2,黄蔚欣,140,11,全周,,限:建筑学院学生选课,2020,否
建筑学院,30000364,1,城乡规划基础（3）,4,陈宇琳,9,"13,14,41,42",前八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000364,2,城乡规划基础（3）,4,郭璐,8,"13,14,41,42",前八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000374,1,城乡规划基础（4）,4,陈宇琳,8,"13,14,41,42",后八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000374,2,城乡规划基础（4）,4,孙诗萌,9,"13,14,41,42",后八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000404,1,城乡规划基础（7）,4,周政旭,11,"23,24,51,52",前八周,,限:建筑学院学生选课,2020,否
建筑学院,30000404,2,城乡规划基础（7）,4,袁琳,10,"23,24,51,52",前八周,,限:建筑学院学生选课,2020,否
建筑学院,30000414,1,城乡规划基础（8）,4,刘宛,11,"23,24,51,52",后八周,,限:建筑学院学生选课,2020,否
建筑学院,30000414,2,城乡规划基础（8）,4,来源,10,"23,24,51,52",后八周,,限:建筑学院学生选课,2020,否
建筑学院,30000434,0,风景园林设计（1）,4,郭湧,13,"23,24,51,52",前八周,,限:风景园林专业学生选课,2020,否
建筑学院,30000444,0,风景园林设计（2）,4,郑晓笛,13,"23,24,51,52",后八周,,限:风景园林专业学生选课,2020,否
建筑学院,30000451,0,风景园林设计理论,1,郑晓笛,32,32,后八周,,限:建筑学院学生选课,2020,否
建筑学院,30000473,0,建筑环境学,3,朱颖心,35,42,全周,,,2020,否
建筑学院,30000485,0,建筑环境热学基础(2),5,张寅平,35,"12,52",全周,,,2020,否
建筑学院,30000501,0,景观地学基础,1,党安荣,32,33,后八周,,限:风景园林专业学生选课,2020,否
建筑学院,30000513,0,流体力学与网络(2),3,杨旭东,35,32,全周,,,2020,否
建筑学院,30000541,0,景观设计表达,1,许愿,15,32,前八周,"外文教材,中文授课",限:建筑学院学生选课,2020,否
建筑学院,30000551,0,风景园林工程,1,郭湧,15,22,前八周,实验课,限:风景园林专业学生选课,2020,否
建筑学院,30000561,0,竖向设计,1,郭湧,20,31,前八周,,限:风景园林专业学生选课,2021,否
建筑学院,30000571,0,区域与景观规划原理,1,庄优波,32,12,前八周,,限:建筑学院学生选课,2019,否
建筑学院,40000171,0,土地利用开发与管理,1,田莉,32,11,后八周,,限:建筑学院学生选课,2019,否
建筑学院,40000182,0,建筑空气污染控制装置设计及工程实践,2,莫金汉,25,46,全周,,,2019,否
建筑学院,40000192,0,人体热舒适,2,曹彬,30,14,全周,"外文教材,中文授课",,2019,否
建筑学院,40000212,0,风景园林植物学,2,康宁,32,"21,22",后八周,,,2021,否
建筑学院,40000244,1,建筑设计（4上）,4,王毅,12,"23,24,51,52",前八周,,网上不选课,2020,否
建筑学院,40000244,2,建筑设计（4上）,4,王辉,12,"23,24,51,52",前八周,,网上不选课,2020,否
建筑学院,40000244,3,建筑设计（4上）,4,邹欢,12,"23,24,51,52",前八周,,网上不选课,2020,否
建筑学院,40000244,4,建筑设计（4上）,4,程晓青,12,"23,24,51,52",前八周,,网上不选课,2020,否
建筑学院,40000244,5,建筑设计（4上）,4,饶戎,12,"23,24,51,52",前八周,,网上不选课,2020,否
建筑学院,40000244,6,建筑设计（4上）,4,夏晓国,12,"23,24,51,52",前八周,,网上不选课,2020,否
建筑学院,40000244,7,建筑设计（4上）,4,庄惟敏,12,"23,24,51,52",前八周,,网上不选课,2020,否
建筑学院,40000244,8,建筑设计（4上）,4,刘念雄,12,"23,24,51,52",前八周,,网上不选课,2020,否
建筑学院,40000244,9,建筑设计（4上）,4,程晓喜,12,"23,24,51,52",前八周,,网上不选课,2020,否
建筑学院,40000244,10,建筑设计（4上）,4,韦诗誉,12,"23,24,51,52",前八周,,网上不选课,2020,否
建筑学院,40000254,1,建筑设计（4下）,4,王毅,12,"23,24,51,52",后八周,,网上不选课,2020,否
建筑学院,40000254,2,建筑设计（4下）,4,王辉,12,"23,24,51,52",后八周,,网上不选课,2020,否
建筑学院,40000254,3,建筑设计（4下）,4,邹欢,12,"23,24,51,52",后八周,,网上不选课,2020,否
建筑学院,40000254,4,建筑设计（4下）,4,程晓青,12,"23,24,51,52",后八周,,网上不选课,2020,否
建筑学院,40000254,5,建筑设计（4下）,4,许懋彦,12,"23,24,51,52",后八周,,网上不选课,2020,否
建筑学院,40000254,6,建筑设计（4下）,4,夏晓国,12,"23,24,51,52",后八周,,网上不选课,2020,否
建筑学院,40000254,7,建筑设计（4下）,4,庄惟敏,12,"23,24,51,52",后八周,,网上不选课,2020,否
建筑学院,40000254,8,建筑设计（4下）,4,刘念雄,12,"23,24,51,52",后八周,,网上不选课,2020,否
建筑学院,40000254,9,建筑设计（4下）,4,程晓喜,12,"23,24,51,52",后八周,,网上不选课,2020,否
建筑学院,40000254,10,建筑设计（4下）,4,韦诗誉,12,"23,24,51,52",后八周,,网上不选课,2020,否
建筑学院,40000364,1,城乡规划设计（3）,4,黄鹤,10,"13,14,41,42",前八周,实践课,限:建筑学院学生选课,2019,否
建筑学院,40000364,2,城乡规划设计（3）,4,唐燕,10,"13,14,41,42",前八周,实践课,限:建筑学院学生选课,2019,否
建筑学院,40000374,1,城乡规划设计（4）,4,曹宇钧,10,"13,14,41,42",后八周,实践课,限:建筑学院学生选课,2019,否
建筑学院,40000374,2,城乡规划设计（4）,4,田莉,10,"13,14,41,42",后八周,实践课,限:建筑学院学生选课,2019,否
建筑学院,40000431,0,风景园林遗产保护,1,赵智聪,30,22,后八周,,,2019,否
建筑学院,40000474,0,风景园林设计(5),4,朱育帆,15,"13,14,41,42",前八周,实践课,限:风景园林专业学生选课,2019,否
建筑学院,40000484,0,风景园林设计（6）,4,史舒琳,15,"13,14,41,42",后八周,实践课,限:风景园林专业学生选课,2019,否
建筑学院,40000494,1,建筑设计（6）,4,,14,"13,14,41,42",前八周,,网上不选课,2019,否
建筑学院,40000494,2,建筑设计（6）,4,,14,"13,14,41,42",前八周,,网上不选课,2019,否
建筑学院,40000494,3,建筑设计（6）,4,,14,"13,14,41,42",前八周,,网上不选课,2019,否
建筑学院,40000494,4,建筑设计（6）,4,,14,"13,14,41,42",前八周,,网上不选课,2019,否
建筑学院,40000494,5,建筑设计（6）,4,,14,"13,14,41,42",前八周,,网上不选课,2019,否
建筑学院,40000494,6,建筑设计（6）,4,,14,"13,14,41,42",前八周,,网上不选课,2019,否
建筑学院,40000494,7,建筑设计（6）,4,,14,"13,14,41,42",前八周,,网上不选课,2019,否
建筑学院,40000494,8,建筑设计（6）,4,,14,"13,14,41,42",前八周,,网上不选课,2019,否
建筑学院,40000494,9,建筑设计（6）,4,,14,"13,14,41,42",前八周,,网上不选课,2019,否
建筑学院,40000494,10,建筑设计（6）,4,,14,"13,14,41,42",前八周,,网上不选课,2019,否
建筑学院,40000494,11,建筑设计（6）,4,,14,"13,14,41,42",前八周,,网上不选课,2019,否
建筑学院,40000504,1,建筑设计（7）,4,范路,14,"13,14,41,42",后八周,,网上不选课,2019,否
建筑学院,40000504,2,建筑设计（7）,4,朱文一,14,"13,14,41,42",后八周,,网上不选课,2019,否
建筑学院,40000504,3,建筑设计（7）,4,吕富珣,14,"13,14,41,42",后八周,,网上不选课,2019,否
建筑学院,40000504,4,建筑设计（7）,4,饶戎,14,"13,14,41,42",后八周,,网上不选课,2019,否
建筑学院,40000504,5,建筑设计（7）,4,朱宁,14,"13,14,41,42",后八周,,网上不选课,2019,否
建筑学院,40000504,6,建筑设计（7）,4,黄蔚欣,14,"13,14,41,42",后八周,,网上不选课,2019,否
建筑学院,40000504,7,建筑设计（7）,4,王路,14,"13,14,41,42",后八周,,网上不选课,2019,否
建筑学院,40000504,8,建筑设计（7）,4,姜涌,14,"13,14,41,42",后八周,,网上不选课,2019,否
建筑学院,40000504,9,建筑设计（7）,4,韦诗誉,14,"13,14,41,42",后八周,,网上不选课,2019,否
建筑学院,40000504,10,建筑设计（7）,4,张敏,14,"13,14,41,42",后八周,,网上不选课,2019,否
建筑学院,40000504,11,建筑设计（7）,4,DE GEUS MARTIJN,14,"13,14,41,42",后八周,,网上不选课,2019,否
建筑学院,40000514,0,城市能源系统,4,江亿,35,"41,42",全周,实践课,,2019,否
城规系,40010011,0,场地规划与设计概论,1,刘宛,40,31,前八周,,限:城乡规划专业学生选课,2020,否
建筑系,30020451,0,建筑热环境,1,刘念雄,130,22,前八周,,限:建筑学院学生选课,2019,否
建筑系,30020461,0,建筑光环境,1,张昕,130,22,后八周,,限:建筑学院学生选课,2019,否
建筑系,30020482,0,中国古代建筑史纲,2,贺从容,120,21,全周,,限:建筑学院学生选课,2020,否
建筑系,30020552,0,外国古代建筑史纲,2,贾珺,130,31,全周,,限:建筑学院学生选课,2021,否
建筑系,30020561,0,西方古典建筑理论,1,刘畅,15,51,后八周,,限:建筑学院学生选课,2019,否
建筑系,30020572,0,城市规划原理,2,谭纵波,150,"11,12",单周,,限:建筑学院、土木系、建管系学生选课,"2019
2020",否
建筑系,30020633,1,建筑美术（2）,3,高冬,37,"51,52",全周,实验课,限:建筑学院学生选课,2021,否
建筑系,30020633,2,建筑美术（2）,3,程刚,37,"51,52",全周,实验课,限:建筑学院学生选课,2021,否
建筑系,30020633,3,建筑美术（2）,3,王青春,37,"53,54",全周,实验课,限:建筑学院学生选课,2021,否
建筑系,30020663,1,建筑美术（5）,3,高冬,25,"41,42",全周,实验课,限:建筑学院学生选课,2020,否
建筑系,30020663,2,建筑美术（5）,3,程刚,25,"41,42",全周,实验课,限:建筑学院学生选课,2020,否
建筑系,30020663,3,建筑美术（5）,3,王青春,10,"61,62",全周,实验课,限:建筑学院学生选课,2020,否
建筑系,30020663,4,建筑美术（5）,3,王青春,16,"63,64",全周,实验课,限:建筑学院学生选课,2020,否
建筑系,30020682,0,建筑数学,2,张弘,140,12,全周,,限:建筑学院学生选课,2021,否
建筑系,30020741,0,城市设计概论,1,王辉,120,33,前八周,,限:建筑学院学生选课,2019,否
建筑系,30020751,0,CAAD方法,1,黄蔚欣,140,32,前八周,,限:建筑学院学生选课,2020,否
建筑系,30020762,0,建筑构造,2,姜涌,120,"31,32",后八周,,限:建筑学院学生选课,2020,否
建筑系,30020771,0,人居科学基础,1,朱文一,140,22,前八周,,限:建筑学院学生选课,2021,否
建筑系,30020801,0,中国执业建筑师的专业素养,1,朱小地,130,36,前八周,,限:建筑学院学生选课,2019,否
建筑系,40020171,0,传统民居与乡土建筑,1,王路,120,12,后八周,,限:建筑学院学生选课,2020,否
建筑系,40020400,0,建筑师业务实践,11,宋晔皓,120,,13-16周,,限:建筑学院学生选课; 多学期（春夏）课程，春季为第一学期,2018,否
建筑系,40020472,0,中国近代建筑史,2,刘亦师,60,52,全周,,优先:建筑学院学生选课,2019,否
建筑系,40020681,0,生态建筑学概论,1,宋晔皓,120,31,前八周,,优先:建筑学院学生选课,2020,否
建筑系,40020960,1,综合论文训练,15,张利,10,"23,24,51,52",1-12周,,建筑学专业四年级推研及计划四年毕业的同学选课,"2017
2018",否
建筑系,40020960,2,综合论文训练,15,朱文一,10,"23,24,51,52",1-12周,,建筑学专业四年级推研及计划四年毕业的同学选课,"2017
2018",否
建筑系,40020960,3,综合论文训练,15,单军,9,"23,24,51,52",1-12周,,建筑学专业四年级推研及计划四年毕业的同学选课,"2017
2018",否
建筑系,40020960,4,综合论文训练,15,周榕,9,"23,24,51,52",1-12周,,建筑学专业四年级推研及计划四年毕业的同学选课,"2017
2018",否
建筑系,40020960,5,综合论文训练,15,韩孟臻,80,,全周,,建筑学专业五年级同学选课,2017,否
建筑系,40020960,6,综合论文训练,15,黄鹤,15,,全周,,网上不选课,2018,否
建筑系,40020960,7,综合论文训练,15,于涛方,15,,全周,,网上不选课,2018,否
建筑系,40020960,8,综合论文训练,15,刘宛,15,,全周,,网上不选课,2018,否
建筑系,40020960,9,综合论文训练,15,康宁,10,,全周,,风景园林专业四年级同学选课,2018,否
建筑系,40021101,0,当代建筑设计理论,1,青锋,100,16,前八周,,优先:建筑学院学生选课,2019,否
建筑系,40021251,0,当代建筑设计思潮,1,范路,100,16,后八周,,优先:建筑学院学生选课,2019,否
建筑系,40021271,0,空间信息技术导论,1,党安荣,80,33,前八周,,限:建筑学院学生选课,2019,否
建筑系,40021331,0,中国古代城市营建史概论,1,武廷海,30,31,后八周,,限:城乡规划专业学生选课,2021,否
建筑系,40021391,0,建筑设计基础（2）,1,郭逊,140,26,"1-4,9-12周",,限:建筑学院学生选课,2021,否
建筑系,40021494,1,设计专题,4,胡戎叡,8,"23,24,51,52",1-12周,,"限:建筑学院学生选课; 建筑学专业四年级未推研同学选课,在线课堂,未返校留学生选",2018,否
建筑系,40021494,2,设计专题,4,吕富珣,11,"23,24,51,52",1-12周,,限:建筑学院学生选课; 建筑学专业四年级未推研同学选课,2018,否
建筑系,40021494,3,设计专题,4,刘伯英,11,"23,24,51,52",1-12周,,限:建筑学院学生选课; 建筑学专业四年级未推研同学选课,2018,否
建筑系,40021494,4,设计专题,4,卢向东,11,"23,24,51,52",1-12周,,限:建筑学院学生选课; 建筑学专业四年级未推研同学选课,2018,否
建筑系,40021494,5,设计专题,4,尹思谨,11,"23,24,51,52",1-12周,,限:建筑学院学生选课; 建筑学专业四年级未推研同学选课,2018,否
建筑系,40021494,6,设计专题,4,朱宁,11,"23,24,51,52",1-12周,,限:建筑学院学生选课; 建筑学专业四年级未推研同学选课,2018,否
建筑系,40021494,7,设计专题,4,姜娓娓,10,"23,24,51,52",1-12周,,限:建筑学院学生选课; 建筑学专业四年级未推研同学选课,2018,否
建筑系,40021494,8,设计专题,4,,10,"23,24,51,52",1-12周,,限:建筑学院学生选课; 建筑学专业四年级未推研同学选课,2018,否
土木系,00030332,0,自然建筑与自然城市,2,叶桢翔,30,23,全周,实践课,,2020,否
土木系,10030042,0,可持续工程创新与实践,2,韩林海,15,"16,36",前八周,新生研讨课;文化素质课;通识选修课,限:2021学生选课,2021,否
土木系,20030102,0,弹性力学及有限元基础,2,邢沁妍,30,14,全周,,,2019,否
土木系,20030153,0,混凝土结构(1),3,冯鹏,75,12,全周,,,2019,否
土木系,30030113,0,钢结构(1),3,施刚,40,52,全周,,与钢结构1（英）二选一,2019,否
土木系,30030323,0,土木工程CAD技术基础,3,马智亮,70,32,全周,,建议修过计算机制图,2019,否
土木系,30030372,0,房地产开发经营与管理,2,刘洪玉,40,22,全周,,,2019,否
土木系,30030441,0,混凝土结构试验,1,刘宇飞,35,44,双周,实验课,,2019,否
土木系,30030462,0,绿色交通系统,2,李萌,40,33,全周,外文授课≥50%,,2019,否
土木系,30030493,0,钢结构(1)（英）,3,班慧勇,40,52,全周,全外文授课;认证外文课,与钢结构（1）二选一,2019,否
土木系,30030572,0,土力学地基基础,2,赵志宏,30,52,全周,,,2019,否
土木系,30030583,0,钢筋混凝土,3,杨军,70,12,全周,,,2019,否
土木系,30030592,0,人工智能与工程应用,2,张熠,60,56,全周,,,2019,否
土木系,30030601,1,地震工程和动力学基础,1,赵作周,35,31,前八周,,,2019,否
土木系,30030601,2,地震工程和动力学基础,1,纪晓东,35,31,前八周,,,2019,否
土木系,30030611,1,测量学,1,刘钊,35,14,前八周,实验课,,2020,否
土木系,30030611,2,测量学,1,赵红蕊,35,33,前八周,实验课,,2020,否
土木系,30030611,3,测量学,1,白征东,35,22,前八周,实验课,,2020,否
土木系,30030611,4,测量学,1,刘钊,42,52,后八周,实验课,,2020,否
土木系,30030611,5,测量学,1,赵红蕊,42,54,后八周,实验课,,2020,否
土木系,30030611,6,测量学,1,白征东,42,33,后八周,实验课,,2020,否
土木系,40030073,0,建筑设计(1),3,祝文君,20,42,全周,,,2019,否
土木系,40030352,0,建筑材料,2,李克非,22,51,全周,,,2020,否
土木系,40030361,1,建筑材料实验,1,韩建国,16,14,后八周,实验课,当学期选择《建筑材料》的同学务必同时选择《建筑材料实验》课程,2020,是
土木系,40030361,2,建筑材料实验,1,韩建国,16,22,后八周,实验课,当学期选择《建筑材料》的同学务必同时选择《建筑材料实验》课程,2020,是
土木系,40030361,3,建筑材料实验,1,郭自利,16,33,后八周,实验课,当学期选择《建筑材料》的同学务必同时选择《建筑材料实验》课程,2020,是
土木系,40030584,0,施工实习,4,杨述,110,,全周,实践课,多学期（春夏）课程，春季为第一学期,2019,否
土木系,40030700,0,综合论文训练,15,王强,85,,全周,,,2018,否
土木系,40030762,0,交通信息与控制,2,李瑞敏,40,26,全周,,,2019,否
土木系,40030782,0,桥梁工程,2,樊健生,40,13,全周,,,2019,否
土木系,40030851,0,土木规划学,1,石京,30,23,前八周,,,2019,否
土木系,40030862,0,土木与生态工程,2,郭红仙,40,23,全周,,,2020,否
土木系,40030872,0,路基路面工程,2,呙润华,20,"14,32",后八周,,,2019,否
土木系,40030902,0,建筑材料(英),2,李克非,22,24,全周,全外文授课;认证外文课,,2020,否
土木系,40030912,0,交通规划,2,李瑞敏,40,11,全周,,,2019,否
土木系,40030931,1,卓越工程师培养：因材施教研讨课(2),1,赵作周,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,2,卓越工程师培养：因材施教研讨课(2),1,陆新征,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,3,卓越工程师培养：因材施教研讨课(2),1,王俊杰,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,4,卓越工程师培养：因材施教研讨课(2),1,石永久,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,5,卓越工程师培养：因材施教研讨课(2),1,魏亚,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,6,卓越工程师培养：因材施教研讨课(2),1,韩林海,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,7,卓越工程师培养：因材施教研讨课(2),1,邢沁妍,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,8,卓越工程师培养：因材施教研讨课(2),1,班慧勇,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,9,卓越工程师培养：因材施教研讨课(2),1,王法承,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,10,卓越工程师培养：因材施教研讨课(2),1,呙润华,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,11,卓越工程师培养：因材施教研讨课(2),1,李威,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,12,卓越工程师培养：因材施教研讨课(2),1,张熠,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,13,卓越工程师培养：因材施教研讨课(2),1,董聪,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,14,卓越工程师培养：因材施教研讨课(2),1,赵志宏,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,15,卓越工程师培养：因材施教研讨课(2),1,杨军,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,16,卓越工程师培养：因材施教研讨课(2),1,林佳瑞,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,17,卓越工程师培养：因材施教研讨课(2),1,赵红蕊,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,18,卓越工程师培养：因材施教研讨课(2),1,聂鑫,3,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,19,卓越工程师培养：因材施教研讨课(2),1,郭红仙,2,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,20,卓越工程师培养：因材施教研讨课(2),1,樊健生,4,,全周,专题研讨课,,"2019
2020",否
土木系,40030931,21,卓越工程师培养：因材施教研讨课(2),1,祝文君,4,,全周,专题研讨课,,"2019
2020",否
土木系,40031062,0,智能建造,2,郭红领,30,36,全周,,,2019,否
土木系,40031122,0,钢结构原理与设计(英),2,班慧勇,40,31,全周,全外文授课;认证外文课,,2019,否
土木系,40031141,0,建设工程HSE管理,1,方东平,30,14,前八周,,,2019,否
土木系,40031152,0,工程估价,2,于清,28,46,1-10周,实践课,,2019,否
土木系,40031162,0,混凝土结构原理与设计,2,赵作周,60,21,全周,,"建管专业必修课程,同时是土木方向交叉课组课程",2019,否
土木系,40031172,0,综合课程设计(1),2,于清,26,"53,54",后八周,实践课,,2019,否
水利系,00040202,0,水利大数据原理与实践,2,李铁键,25,"54,55",全周,实验课,土木大类同学应按辅方向选课；建议水利系大三、大四同学选修；强基计划书院水木班大二同学选修,2019,否
水利系,20040083,0,流体力学(1),3,茅泽育,50,32,全周,,,2020,否
水利系,20040104,0,流体力学,4,王虹,90,"22,53",全周,,,2020,否
水利系,30040042,0,结构动力学,2,潘坚文,25,23,全周,,建议修过结构分析等静力学课程,2019,否
水利系,30040162,1,基础工程,2,张建红,30,32,全周,,水利方向选课序号1，2课堂,2019,是
水利系,30040162,2,基础工程,2,介玉新,30,32,全周,,水利方向选课序号1，2课堂,2019,是
水利系,30040162,3,基础工程,2,宋二祥,25,23,全周,,土木方向选课序号3，4课堂,2019,是
水利系,30040162,4,基础工程,2,徐明,25,23,全周,,土木方向选课序号3，4课堂,2019,是
水利系,30040292,0,海岸科学与工程概论,2,张永良,30,14,全周,,,2019,否
水利系,30040362,0,基础工程（英）,2,程晓辉,30,23,全周,全外文授课;认证外文课,"土木方向的学生可以选择,和基础工程二选一",2019,否
水利系,30040442,0,海岛开发与保护,2,潘坚文,30,26,全周,,"大类交叉课程(海洋方向),欢迎土木,水利,工程管理,交通的同学选课",2019,否
水利系,30040453,0,海洋气象水文学,3,倪广恒,20,12,全周,,,2019,否
水利系,30040493,0,流体力学,3,牛小静,50,52,全周,,,2020,否
水利系,30040502,0,城市与水,2,李丹勋,40,41,全周,,,2020,否
水利系,30040582,0,流域生态水文学,2,杨汉波,30,34,全周,,水利方向限选课,2019,否
水利系,30040592,0,海洋环境学,2,刘昭伟,20,34,全周,,,2019,否
水利系,30040612,0,生态水工学,2,刘耀儒,40,41,全周,,"土木大类,大类发展课",2019,否
水利系,30040623,0,流体力学(英),3,朱德军,50,42,全周,全外文授课,,2020,否
水利系,30040644,0,流体力学,4,李玲,65,"22,42",全周,,,2020,否
水利系,40040072,1,建筑工程施工,2,林鹏,30,"23,24",后八周,,,2019,否
水利系,40040072,2,建筑工程施工,2,胡昱,30,"23,24",后八周,,,2019,否
水利系,40040152,1,工程地质,2,徐文杰,100,11,全周,,土木、建管、未央行健土木方向，选择课序号为1或3课堂；水利、未央行健水利方向，选择课序号2或3课堂,2020,否
水利系,40040152,2,工程地质,2,徐文杰,100,23,全周,,土木、建管、未央行健土木方向，选择课序号为1或3课堂；水利、未央行健水利方向，选择课序号2或3课堂,2020,否
水利系,40040152,3,工程地质,2,徐文杰,30,16,全周,,混合式课堂,2020,否
水利系,40040590,0,综合论文训练,15,李丹勋,95,,全周,,,2018,否
水利系,40040663,0,港口工程,3,徐艳杰,40,26,全周,,,2019,否
水利系,40040732,0,治河防洪工程,2,张红武,30,"15,16",后八周,,,2019,否
水利系,40040753,1,水工建筑学,3,金峰,32,22,全周,,,2019,否
水利系,40040753,2,水工建筑学,3,李庆斌,32,22,全周,,,2019,否
水利系,40040772,0,水资源系统工程,2,尚松浩,30,14,全周,,,2019,否
水利系,40040843,0,水工结构实验原理与认识,3,刘耀儒,40,12,全周,实验课,,2020,否
水利系,40040872,0,河流模拟概论,2,张红武,25,"54,55",后八周,,,2019,否
水利系,40040972,0,海洋石油工程,2,吴必胜,50,46,6-16周,,"大二以上,欢迎水利工程,环境工程,海洋工程,石油工程,地球科学,土木工程,力学专业学生选课","2019
2020",否
水利系,40040982,0,海洋岩土工程,2,吴必胜,50,52,6-16周,,"土木大类交叉课程(海洋方向),欢迎土木,水利,交通,建管方向同学选课",2019,否
水利系,40040992,0,国际河流水安全,2,倪广恒,20,53,全周,"外文教材,中文授课","土木大类,大类发展课程",2019,否
环境学院,00050101,0,水中污染物快速检测生物传感器,1,周小红,25,21,前八周,,,2019,否
环境学院,30050152,0,环境化学,2,张彭义,65,21,全周,,,2020,否
环境学院,30050162,0,生态学原理,2,刘雪华,70,51,全周,外文授课≥50%,接收辅修学生选课,2020,否
环境学院,30050182,0,环境土壤学,2,段雷,20,11,全周,外文授课≥50%,,2020,否
环境学院,30050213,0,环境监测,3,黄俊,90,42,全周,,接收辅修学生选课,2020,否
环境学院,30050272,0,环境外交与谈判,2,李金惠,30,21,全周,"外文教材,中文授课",,2021,否
环境学院,30050352,0,环境毒理与健康,2,陆韻,50,36,全周,"外文教材,中文授课",接收辅修学生选课,2019,否
